#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"seo tips",7,,,2700,https://backlinko.com/actionable-seo-tips,174,43600000,"2017-11-06 01:29:40",57,6.00,
2,"powerful seo",1,,,10,https://backlinko.com/actionable-seo-tips,3.7,45100000,"2017-10-21 05:47:36",16,5.00,
3,"seo tip",8,,,20,https://backlinko.com/actionable-seo-tips,0.62,1260000,"2017-09-29 14:01:21",63,4.00,
4,"google 201",10,,,10,https://backlinko.com/actionable-seo-tips,0.25,34600000,"2017-10-21 03:58:51",36,,
