#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"buyer keywords",6,,,80,https://backlinko.com/commercial-intent,4.6,28300000,"2017-10-28 13:26:45",6,,
2,"informational commercial",7,,,90,https://backlinko.com/commercial-intent,4.1,91400000,"2017-10-31 11:47:44",4,,
3,"commercial intent keywords",2,,,20,https://backlinko.com/commercial-intent,3.4,25900000,"2017-11-06 02:11:56",26,,
4,"buyer intent keywords",2,,,20,https://backlinko.com/commercial-intent,2.5,409000,"2017-09-15 13:17:21",17,,
5,"buying key words",10,,,90,https://backlinko.com/commercial-intent,2.2,65500000,"2017-11-03 22:38:40",13,2.00,
6,"buy keyword",10,,,90,https://backlinko.com/commercial-intent,2.2,69000000,"2017-10-31 02:00:52",15,2.00,
7,"backlinko keyword research",5,,,20,https://backlinko.com/commercial-intent,1.4,539000,"2017-11-01 06:31:09",39,,
8,"buyer keywords generator",9,,,30,https://backlinko.com/commercial-intent,0.89,1250000,"2017-10-11 09:38:26",1,,
