#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"on page seo guidelines",3,2,"2017-07-25 20:53:43",20,http://backlinko.com/on-page-seo,2.3,1410000,"2017-09-15 18:19:27",58,4.50,
2,"on page seo techniques",7,6,"2017-07-19 12:06:43",40,http://backlinko.com/on-page-seo,1.9,2470000,"2017-09-13 04:10:36",61,,
3,"seo 2016 pdf",9,11,"2017-07-30 23:03:48",40,http://backlinko.com/on-page-seo,1.1,4370000,"2017-09-16 08:19:23",58,8.00,
