#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,guestographics,3,,,200,https://backlinko.com/seo-strategy,21,4070,"2017-10-02 08:16:26",0,,
2,"backlinking strategy",5,,,50,https://backlinko.com/seo-strategy,3.8,2530000,"2017-10-29 19:49:53",61,,
3,"perrin carrell",8,,,50,https://backlinko.com/seo-strategy,1.9,65700,"2017-09-24 14:56:47",0,,
4,guestographic,3,,,20,https://backlinko.com/seo-strategy,1.9,1820,"2017-10-21 15:19:33",0,,
5,"backlink strategy",8,,,50,https://backlinko.com/seo-strategy,1.8,492000,"2017-10-14 11:34:39",57,,
6,"backlinko link building",8,,,20,https://backlinko.com/seo-strategy,0.93,64800,"2017-09-16 23:06:37",65,,
7,"seo strategy example",7,,,20,https://backlinko.com/seo-strategy,0.75,12900000,"2017-11-05 15:39:52",26,,
8,"the backlinking strategy that works",9,,,20,https://backlinko.com/seo-strategy,0.64,314000,"2017-10-01 22:37:11",33,,
9,"backlink strategies",9,,,10,https://backlinko.com/seo-strategy,0.37,432000,"2017-10-22 11:02:35",67,,
