#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"webs traffic",8,7,"2017-08-02 05:43:21",200,http://backlinko.com/increase-website-traffic,7,365000000,"2017-09-01 11:39:46",68,7.00,
2,"how to get more traffic",6,,,30,http://backlinko.com/increase-website-traffic,1.9,31600000,"2017-09-10 18:44:38",53,5.00,
3,"get website traffic free",9,15,"2017-07-19 18:10:37",20,http://backlinko.com/increase-website-traffic,0.69,125000000,"2017-09-13 09:57:42",67,3.00,
