#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"list building",2,,,450,https://backlinko.com/list-building,44,829000000,"2017-10-22 19:53:51",47,4.00,
2,"list building strategies",1,,,60,https://backlinko.com/list-building,22,20200000,"2017-11-02 13:23:10",31,6.00,
3,listbuilding,2,,,40,https://backlinko.com/list-building,5,84700000,"2017-09-21 00:48:17",45,,
4,"list building strategies that really work",1,,,10,https://backlinko.com/list-building,3.7,8030000,"2017-10-17 08:13:07",28,,
5,"email list building strategies",1,,,10,https://backlinko.com/list-building,3.7,13000000,"2017-10-17 01:30:10",41,13.00,
6,"build list",9,,,100,https://backlinko.com/list-building,3.5,612000000,"2017-10-01 03:50:37",43,3.00,
7,"building list",5,,,20,https://backlinko.com/list-building,1.2,817000000,"2017-09-18 07:44:16",22,2.50,
8,"list building guide",5,,,10,https://backlinko.com/list-building,0.88,481000000,"2017-10-11 07:51:00",22,,
