#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"seo in",3,,,40,https://backlinko.com/seo-this-year,4.4,46800000,"2017-10-31 09:09:04",43,,
2,"definitive guide",7,,,70,https://backlinko.com/seo-this-year,3.4,18300000,"2017-10-27 02:05:08",27,0.70,
3,"definitive guide to",5,,,20,https://backlinko.com/seo-this-year,1.8,16400000,"2017-11-01 08:41:17",22,,
4,"chapter 9 test form g",6,,,20,https://backlinko.com/seo-this-year,0.17,6730000,"2017-11-04 15:04:45",0,,"Image pack"
5,backlinko.com,1,,,20,https://backlinko.com/seo-this-year,0.08,168000,"2017-11-06 09:10:56",38,,"Site links"
