#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"how to rank for keywords",6,7,"2017-09-15 18:42:29",20,https://backlinko.com/how-to-rank-for-any-keyword,1.1,16600000,"2017-11-05 22:47:47",49,,
2,"how to rank",6,,,10,https://backlinko.com/how-to-rank-for-any-keyword,0.70,64400000,"2017-10-17 10:21:12",39,,
3,"exact rank",8,,,10,https://backlinko.com/how-to-rank-for-any-keyword,0.46,262000000,"2017-10-16 11:00:34",1,,
