#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,guestographics,1,,,200,https://backlinko.com/how-to-get-backlinks,66,4070,"2017-10-02 08:16:26",0,,"Featured snippet"
2,guestographics,2,,,200,https://backlinko.com/how-to-get-backlinks,26,4070,"2017-10-02 08:16:26",0,,
3,guestographic,1,,,20,https://backlinko.com/how-to-get-backlinks,5,1820,"2017-10-21 15:19:33",0,,"Featured snippet"
4,guestographic,2,,,20,https://backlinko.com/how-to-get-backlinks,2.4,1820,"2017-10-21 15:19:33",0,,
5,"backlinko link building",7,,,20,https://backlinko.com/how-to-get-backlinks,1.2,64800,"2017-09-16 23:06:37",65,,
