#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
51,"google's 200 ranking factors",2,,,10,https://backlinko.com/google-ranking-factors,1.7,300000,"2017-10-18 09:22:47",44,,
52,"ranking in google",6,,,30,https://backlinko.com/google-ranking-factors,1.7,173000000,"2017-11-06 06:24:19",63,2.50,
53,"google organic ranking factors",2,,,10,https://backlinko.com/google-ranking-factors,1.6,2220000,"2017-10-16 13:44:15",53,,
54,"google ranking factors 2015",9,,,50,https://backlinko.com/google-ranking-factors,1.6,6730000,"2017-10-29 23:40:05",71,,
55,"most important seo factors",6,,,30,https://backlinko.com/google-ranking-factors,1.5,17600000,"2017-09-30 15:47:19",79,,
56,"seo rater",9,,,50,https://backlinko.com/google-ranking-factors,1.4,316000,"2017-09-17 19:47:56",91,13.00,
57,"ranking of local results on google",10,,,50,https://backlinko.com/google-ranking-factors,1.3,135000000,"2017-10-28 14:04:33",51,,
58,"search rankings google",6,,,20,https://backlinko.com/google-ranking-factors,1.3,88100000,"2017-10-01 19:16:44",65,3.00,
59,"google website ranks",10,,,50,https://backlinko.com/google-ranking-factors,1.2,9430000,"2017-10-30 17:22:40",73,2.00,
60,"google search ranking signal",3,,,10,https://backlinko.com/google-ranking-factors,1.2,10700000,"2017-10-08 01:12:52",68,,
61,"search page rankings",8,,,30,https://backlinko.com/google-ranking-factors,1.2,238000000,"2017-10-26 13:14:48",63,,
62,"url ranking",10,,,40,https://backlinko.com/google-ranking-factors,1.0,121000000,"2017-10-26 14:04:25",82,3.50,
63,"google ranking https",7,,,20,https://backlinko.com/google-ranking-factors,1.0,42200000,"2017-11-05 01:41:46",43,,
64,"search ranking algorithm",9,,,30,https://backlinko.com/google-ranking-factors,0.97,9490000,"2017-09-22 00:58:03",82,,
65,"https ranking factor",7,,,20,https://backlinko.com/google-ranking-factors,0.81,1630000,"2017-09-29 05:29:03",57,,
66,"what is google ranking",8,,,20,https://backlinko.com/google-ranking-factors,0.78,49900000,"2017-11-04 00:15:21",73,7.00,
67,"google shopping ranking factors",5,,,10,https://backlinko.com/google-ranking-factors,0.77,1170000,"2017-10-22 15:15:37",0,,
68,"google top ranking factors",5,,,10,https://backlinko.com/google-ranking-factors,0.77,4510000,"2017-10-23 13:40:53",57,,
69,"search rank google",8,,,20,https://backlinko.com/google-ranking-factors,0.77,181000000,"2017-11-02 06:22:33",67,,
70,"the linkedin page for brands is called a _____ page.",8,,,20,https://backlinko.com/google-ranking-factors,0.76,63,"2017-09-20 04:53:18",5,,
71,"seo factors 2015",10,,,30,https://backlinko.com/google-ranking-factors,0.74,7270000,"2017-09-30 12:26:28",76,,
72,"google rank search",9,,,20,https://backlinko.com/google-ranking-factors,0.62,3360000,"2017-10-01 18:17:51",69,,
73,"h1 ranks",2,,,30,https://backlinko.com/google-ranking-factors,0.61,624000,"2017-11-01 12:06:14",0,,"Image pack"
74,"google rank",10,9,"2017-10-18 20:48:27",1400,https://backlinko.com/google-ranking-factors,0.59,234000000,"2017-11-01 03:03:23",89,7.00,
75,"webside list",9,,,100,https://backlinko.com/google-ranking-factors,0.56,1050000000,"2017-10-08 07:52:21",60,13.00,"Image pack"
76,"factors 200",10,,,20,https://backlinko.com/google-ranking-factors,0.56,507000000,"2017-10-29 04:06:03",0,,
77,"are backlinks still important",9,,,20,https://backlinko.com/google-ranking-factors,0.50,2080000,"2017-09-17 19:17:53",61,,
78,"how are google results ordered",10,,,20,https://backlinko.com/google-ranking-factors,0.47,132000000,"2017-11-04 23:35:11",49,,
79,"google search criteria",10,,,20,https://backlinko.com/google-ranking-factors,0.46,3290000,"2017-10-29 15:52:21",75,,
80,"webside list",10,,,100,https://backlinko.com/google-ranking-factors,0.45,990000000,"2017-10-08 07:44:43",60,13.00,"Image pack"
81,"google ranking website",8,,,10,https://backlinko.com/google-ranking-factors,0.43,123000000,"2017-10-04 21:54:34",72,2.50,
82,"popularity chart google",10,,,10,https://backlinko.com/google-ranking-factors,0.35,10700000,"2017-10-18 08:17:39",36,,
83,"signal google",9,,,10,https://backlinko.com/google-ranking-factors,0.34,518000000,"2017-10-23 05:28:07",76,,
84,"seo ranking links",9,,,10,https://backlinko.com/google-ranking-factors,0.31,15700000,"2017-09-23 23:39:27",79,,
85,"how are google search results determined",9,,,10,https://backlinko.com/google-ranking-factors,0.31,7880000,"2017-10-20 19:27:26",59,,
86,"page algorithm",9,,,10,https://backlinko.com/google-ranking-factors,0.29,66100000,"2017-11-01 17:48:24",78,,
