#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,"brian dean",1,,,1200,https://backlinko.com/contact,12,106000000,"2017-10-28 08:34:29",38,0.35,"Site links"
2,"brian dean seo",1,,,150,https://backlinko.com/contact,1.4,553000,"2017-10-24 17:48:28",36,,"Site links"
3,"brian dean backlinko",1,,,50,https://backlinko.com/contact,0.44,33500,"2017-09-22 18:48:00",21,,"Site links"
4,"brian seo",1,,,30,https://backlinko.com/contact,0.30,22000000,"2017-09-24 21:14:21",1,,"Site links"
5,"brain dean",1,,,20,https://backlinko.com/contact,0.20,93200000,"2017-09-20 20:42:00",22,,"Site links"
6,backlinko.com,1,,,20,https://backlinko.com/contact,0.08,168000,"2017-11-06 09:10:56",38,,"Site links"
