#,Keyword,Position,"Position History","Position History Date",Volume,URL,Traffic,Results,"Last Update",Difficulty,CPC,"Page URL inside"
1,backlinko,1,,,2400,https://backlinko.com/newsletter,26,164000,"2017-11-03 09:05:12",25,,"Site links"
2,"seo hacks",7,,,80,https://backlinko.com/newsletter,3.7,22000000,"2017-09-25 03:48:19",23,25.00,
3,"brian dean seo",1,,,150,https://backlinko.com/newsletter,1.4,553000,"2017-10-24 17:48:28",36,,"Site links"
4,"brian dean backlinko",1,,,50,https://backlinko.com/newsletter,0.44,33500,"2017-09-22 18:48:00",21,,"Site links"
5,"brian seo",1,,,30,https://backlinko.com/newsletter,0.30,22000000,"2017-09-24 21:14:21",1,,"Site links"
6,"brain dean",1,,,20,https://backlinko.com/newsletter,0.20,93200000,"2017-09-20 20:42:00",22,,"Site links"
7,backlinco,1,,,10,https://backlinko.com/newsletter,0.09,164000,"2017-10-31 04:51:30",26,,"Site links"
8,backlinko.com,1,,,20,https://backlinko.com/newsletter,0.08,168000,"2017-11-06 09:10:56",38,,"Site links"
